Gameweek,id,team_h_difficulty,homeTeam,homeScore,awayScore,awayTeam,team_a_difficulty,finished
30,293,2,9,0,1,19,2,1
30,295,2,10,0,1,3,3,1
30,298,5,17,1,4,13,2,1
30,294,2,11,1,5,7,2,1
30,296,4,12,2,2,1,4,1
31,309,4,19,2,2,1,3,1
31,301,3,2,3,0,15,2,1
31,310,3,20,2,0,4,2,1
31,302,3,6,1,2,5,4,1
31,303,2,8,1,3,9,2,1
31,307,2,17,0,2,7,2,1
31,308,2,18,2,3,3,4,1
31,305,3,13,3,1,10,5,1
31,306,3,16,0,2,14,2,1
31,304,4,11,1,6,12,2,1
32,311,2,1,3,3,17,4,1
32,316,2,9,2,1,11,2,1
32,313,2,4,1,1,2,3,1
32,315,2,7,0,0,8,2,1
32,317,2,10,2,1,20,3,1
32,318,2,12,3,2,16,4,1
32,320,3,15,6,1,18,4,1
32,312,2,3,0,4,19,2,1
33,327,2,20,2,0,7,2,1
33,329,4,13,4,1,1,5,1
33,321,2,2,1,0,9,2,1
33,323,3,11,1,1,10,2,1
33,324,3,16,3,1,5,2,1
33,328,3,6,0,2,4,4,1
33,326,4,19,1,2,12,3,1
33,322,3,8,1,4,15,2,1
33,330,2,17,0,1,3,2,1
33,325,3,18,2,2,14,4,1
34,335,2,7,4,3,19,2,1
34,333,2,4,2,1,16,3,1
34,334,2,5,6,0,20,3,1
34,276,2,12,1,0,9,4,1
34,340,2,15,3,1,17,4,1
34,332,2,3,4,1,11,2,1
34,336,5,9,1,2,13,2,1
34,339,2,14,1,0,2,4,1
34,274,3,5,1,0,14,3,1
34,338,3,12,4,3,18,4,1
34,337,2,10,2,2,8,3,1
34,331,3,1,3,1,6,4,1
34,277,2,13,3,0,19,5,1
35,349,3,19,1,0,14,3,1
35,341,3,3,1,3,6,2,1
35,345,2,13,2,1,11,5,1
35,348,2,18,1,0,7,4,1
35,350,2,20,1,0,2,2,1
35,344,3,12,1,0,4,4,1
35,346,4,15,0,2,1,4,1
35,343,3,9,5,3,10,2,1
35,342,2,5,1,5,8,3,1
35,347,2,16,4,3,17,2,1
36,357,3,11,2,2,15,2,1
36,360,2,17,0,2,9,2,1
36,352,3,2,2,1,18,2,1
36,354,2,6,2,2,16,4,1
36,355,2,7,2,0,3,2,1
36,359,2,14,2,0,20,4,1
36,353,2,4,2,0,19,3,1
36,356,5,8,0,3,13,2,1
36,351,3,1,0,3,5,4,1
36,358,4,10,0,3,12,3,1
36,248,3,15,0,0,5,4,0
37,368,3,18,0,0,4,4,0
37,369,2,19,0,0,11,3,0
37,361,3,3,0,0,14,2,0
37,363,2,9,0,0,7,2,0
37,364,2,12,0,0,2,4,0
37,362,2,5,0,0,17,3,0
37,370,2,20,0,0,8,2,0
37,367,4,16,0,0,1,2,0
37,365,3,13,0,0,6,5,0
37,366,3,15,0,0,10,4,0
37,314,5,5,0,0,13,3,0
37,319,3,14,0,0,6,4,0
38,371,2,1,0,0,20,4,0
38,372,3,2,0,0,5,2,0
38,373,5,4,0,0,13,3,0
38,374,3,6,0,0,15,4,0
38,375,2,7,0,0,16,2,0
38,376,2,8,0,0,3,2,0
38,377,3,11,0,0,18,2,0
38,378,2,10,0,0,19,3,0
38,379,2,14,0,0,9,4,0
38,380,4,17,0,0,12,2,0
